Indicator Group,Indicator Name,Baseline,Target,Facility Type,Data Source,Assessment,Administration Unit,Year,Scope,Region,Gender/Sex,Value,Data Representation
Data Quality,Proportion of health administration units that conducted Routine Data quality assessments (RDQA),,,,PRISM Assessment,PRISM Assessment,WorHO,2024,National,,,6,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Oromia,,83,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Amhara,,94,Percent
Data Quality,Reporting completeness - Representative,,,Hospital,PRISM Assessment,PRISM Assessment,,2022,National,,,100,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Dire Dawa,,94,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,National Average,,85,Percent
Data Quality,Reporting timeliness,,,,Admin Report,Admin Report,,2023,Regional,Oromia,,44,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,South Ethiopia,,90,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Afar,,69,Percent
Data Quality,Proportion of health administration units that conducted Routine Data quality assessments (RDQA),,,,RDQA - comprehensive,RDQA,WorHO,2023,National,,,55,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Benishangul-Gumuz,,52,Percent
Data Quality,Reporting timeliness,,,,Admin Report,Admin Report,,2023,Regional,Somali,,23,Percent
Data Quality,Percentage of health facility with a VF within the acceptable range,,,Public HF,PRISM Assessment,PRISM Assessment,,2018,National,,,13,Percent
Data Quality,Reporting timeliness,,,,Admin Report,Admin Report,,2023,Regional,National Average,,41,Percent
Data Quality,Reporting timeliness,,,Public HF,PRISM Assessment,PRISM Assessment,,2022,National,,,51,Percent
Data Quality,Reporting completeness - Representative,,,,Admin Report,Admin Report,,2023,Regional,Gambella,,49,Percent
Data Quality,Percentage of health facility with a VF within the acceptable range,,,Public HF,PRISM Assessment,PRISM Assessment,,2024,National,,,0,Percent
Data Quality,Reporting timeliness,,,,Admin Report,Admin Report,,2023,Regional,Dire Dawa,,36,Percent
